Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2023 JA1),2023-May-03 01:15 ± < 00:01,3766841,3753308,5.01,4.99,26.6,13 m -   29 m,0
(2023 HV5),2023-May-03 03:16 ± < 00:01,434889,434324,8.93,8.82,27.2,9.8 m -   22 m,0
(2023 JM2),2023-May-03 05:23 ± < 00:01,5995856,5977807,6.33,6.32,26,17 m -   38 m,0
(2023 HF7),2023-May-04 00:02 ± < 00:01,638670,637330,13.1,13.05,26.8,12 m -   26 m,0
(2023 HH7),2023-May-04 05:47 ± < 00:01,838920,835270,24.55,24.53,25.5,21 m -   47 m,1
(2023 JW4),2023-May-04 08:00 ±    00:04,2701523,2687102,13.31,13.3,26.4,14 m -   32 m,0
(2023 HZ4),2023-May-04 10:19 ± < 00:01,3079124,3049604,22.75,22.75,24,43 m -   96 m,1
(2023 JK4),2023-May-04 11:41 ±    00:02,4533032,4503011,15.8,15.79,25,26 m -   59 m,0
(2006 HX57),2023-May-05 15:24 ± < 00:01,2598308,2598288,11.02,11,25.3,23 m -   51 m,0
(2023 JJ),2023-May-05 23:01 ± < 00:01,1772989,1770569,4.45,4.4,26.8,11 m -   25 m,0
(2023 MC1),2023-May-06 03:47 ±    00:09,6372992,6348268,2.88,2.86,25.4,22 m -   50 m,0
(2023 HT6),2023-May-07 00:39 ± < 00:01,1224666,1215239,9.16,9.13,26.2,16 m -   35 m,0
(2023 KL2),2023-May-07 05:59 ±    00:26,5758195,5644500,8.25,8.24,25.8,19 m -   42 m,0
(2023 JB4),2023-May-07 07:16 ± < 00:01,7225916,7195660,7,6.99,26,17 m -   38 m,0
(2023 JT),2023-May-07 17:25 ± < 00:01,3136790,3131930,8.35,8.33,25.7,19 m -   43 m,0
(2023 HP1),2023-May-07 22:39 ± < 00:01,6122529,6122048,11.62,11.61,22.9,72 m -  160 m,0
(2023 JJ1),2023-May-08 07:06 ± < 00:01,3004892,2996932,12.08,12.07,26,17 m -   37 m,0
(2023 JN),2023-May-08 07:47 ± < 00:01,2568441,2563062,10.78,10.77,26.2,16 m -   35 m,0
(2023 JC1),2023-May-08 09:26 ±    00:02,1801499,1786360,16.28,16.27,27.4,8.6 m -   19 m,0
(2023 JE),2023-May-08 17:17 ± < 00:01,6764482,6753339,8.63,8.62,24.2,39 m -   86 m,0
(2023 JO),2023-May-08 20:14 ± < 00:01,92277,92028,18.83,18.59,29.2,3.8 m -  8.6 m,0
(2023 JY),2023-May-09 03:57 ± < 00:01,387180,386045,15.5,15.43,28.4,5.6 m -   13 m,0
(2023 JJ4),2023-May-09 06:19 ±    00:05,2581219,2564849,18.02,18.01,26,17 m -   38 m,0
